column_name,data_type
MedID,INT64
LabReference,STRING
Sample ID,INT64
Collected,DATE
Time,TIME
Reported Time,TIME
Urine Colour,STRING
Appearance,STRING
Specific Gravity,FLOAT64
pH,FLOAT64
Proteins,STRING
Glucose,STRING
Bilirubin,STRING
Ketones,STRING
Blood,STRING
Urobilinogen,STRING
Nitrites,STRING
WBC _Pus Cells_ __HPF_,STRING
RBC,STRING
Epithelial Cells __HPF_,STRING
Casts,STRING
Crystals,STRING
Others,STRING
Hemoglobin _g_dL_,FLOAT64
RBC Count _mil_µL_,FLOAT64
Hematocrit %,FLOAT64
MCV _fL_,FLOAT64
MCH _pg_,INT64
MCHC _g_dL_,FLOAT64
RDW-CV %,FLOAT64
RDW-SD _fL_,FLOAT64
WBC _cells_µL_,INT64
Neutrophils %,INT64
Lymphocytes %,INT64
Eosinophils %,INT64
Monocytes %,INT64
Basophils %,FLOAT64
Abs Neutrophils,FLOAT64
Abs Lymphocytes,FLOAT64
Abs Monocytes,FLOAT64
Abs Eosinophils,FLOAT64
Abs Basophils,FLOAT64
Platelet Count __10_3_µL_,INT64
MPV _fL_,FLOAT64
Platelet RDW %,INT64
PCT %,FLOAT64
P-LCR %,FLOAT64
IMG %,FLOAT64
IMM %,FLOAT64
IML %,FLOAT64
LIC %,FLOAT64
Total Cholesterol _mg_dL_,INT64
HDL _mg_dL_,INT64
LDL _mg_dL_,FLOAT64
VLDL _mg_dL_,STRING
Triglycerides _mg_dL_,STRING
Non-HDL _mg_dL_,INT64
Total_HDL Ratio,FLOAT64
LDL_HDL Ratio,FLOAT64
HDL_LDL Ratio,FLOAT64
Bilirubin Total _mg_dL_,FLOAT64
Bilirubin Direct _mg_dL_,FLOAT64
Bilirubin Indirect _mg_dL_,FLOAT64
ALP _U_L_,INT64
ALT_SGPT _U_L_,INT64
AST_SGOT _U_L_,INT64
GGT _U_L_,INT64
Protein Total _g_dL_,FLOAT64
Albumin _g_dL_,FLOAT64
Globulin _g_dL_,FLOAT64
A_G Ratio,STRING
Creatinine _mg_dL_,FLOAT64
Urea _mg_dL_,FLOAT64
BUN _mg_dL_,FLOAT64
BUN_Creatinine Ratio,FLOAT64
Sodium _mmol_L_,INT64
Potassium _mmol_L_,FLOAT64
Chloride _mmol_L_,INT64
Uric Acid _mg_dL_,FLOAT64
eGFR _mL_min_1_73m²_,FLOAT64
Iron _µg_dL_,INT64
UIBC _µg_dL_,INT64
TIBC _µg_dL_,INT64
Transferrin Saturation %,FLOAT64
HbA1c %,FLOAT64
Estimated Avg Glucose _mg_dL_,FLOAT64
HbF %,FLOAT64
Urine Albumin _mg_L_,FLOAT64
Urine Creatinine _mg_dL_,FLOAT64
Albumin_Creatinine Ratio,FLOAT64
Calcium _mg_dL_,FLOAT64
Phosphorus _mg_dL_,FLOAT64
TT3 _ng_dL_,INT64
TT4 _µg_dL_,FLOAT64
TSH _µIU_mL_,FLOAT64
Fasting Glucose _mg_dL_,INT64
Postprandial Glucose _mg_dL_,INT64
FBS _mg_dL_,INT64
PLBS _mg_dL_,INT64
